"site","year","k_mean","temp","disch","depth","vel_med","vel_80th","k_med","k_80th","width","medFootprint","eightyFootprint"
"AZ_LV","2018",7.11548355712857,16.9190651831085,7.26217645684375,0.688205898201545,0.28430174831499,0.394207834704556,7.57223121650683,8.12349735106977,30.9131057601303,0.11263592203652,0.145580585923122
"AZ_MV","2018",6.98756218905521,18.048489252195,2.6588192206487,0.523761869351112,0.239809408731253,0.290151143854518,6.87633636863414,7.82355820325547,19.8023572386023,0.104623768766661,0.111260555485016
"AZ_OC","2017",22.5866257054765,13.1957067471777,2.82752596909218,0.473858422070025,0.189128564062515,0.249516861744986,20.3293369066725,23.6368633862088,22.872065540391,0.0279096998978514,0.0316687782555662
"AZ_SC","2017",9.00811623297591,16.0761603598836,1.80500449298866,0.411795700550088,0.172318078759998,0.226806841827475,5.5719668916444,10.992670441787,19.0940667967965,0.0927776934667733,0.0618976552681783
"AZ_WB","2017",23.206314455435,14.7836934713376,0.24237556637859,0.25805749530842,0.120334961215139,0.12540533526061,22.6669950950643,26.8780717191557,7.25088990099991,0.0159264552769955,0.0139971352749128
"AZ_WB","2018",26.3109125065705,15.0330055038658,0.199025921307036,0.254150493800629,0.12286190435426,0.125824601072996,26.0549591896497,33.2781193576012,6.39481090593602,0.014146470557866,0.0113430028651174
"CT_BUNN","2015",32.0482351458306,14.9523411598763,0.0915830605966044,0.18332354205002,0.0879477762540515,0.102771531502021,34.2184829759208,44.1334097429837,5.08953218050614,0.00771055014179963,0.00698596814299123
"CT_BUNN","2016",31.1796099174116,13.5656014209947,0.0737987971675925,0.165835597386813,0.0702480574559772,0.102771531502021,29.9257730275414,44.1101886054206,4.82142869336431,0.00704222985899073,0.00698964579961408
"CT_FARM","2015",1.38077486653412,16.346395525218,15.3598843251955,0.890829710261913,0.401188832204864,0.452778198507575,1.31278895239734,1.7903523910049,40.801014138381,0.916801207396442,0.75869678078309
"CT_FARM","2016",0.955614677337759,14.6006894784563,15.3032152128126,0.849253354712394,0.385789612156494,0.473586916143024,0.495705814574966,1.88528829003223,42.6855242231955,2.33478971284984,0.753603974490704
"CT_HUBB","2015",43.8477636619813,13.1734813359528,0.414411613306155,0.273231594712133,0.12521788879568,0.160098361112246,39.8671868144584,64.1544139861172,10.0491926985638,0.00942262789033321,0.00748654774464423
"CT_HUBB","2016",74.3573997150125,12.9938380864023,0.425611669042951,0.246264207552956,0.093233729467134,0.173777876825399,38.831214086898,158.564001250177,11.3642726892254,0.00720299879822134,0.00328784356074399
"CT_STIL","2015",31.4518798147312,15.752492717661,2.06318361140615,0.456555383084073,0.207874048489509,0.261737559943638,30.8195647595744,40.7916927414613,18.9495711599316,0.0202346188316885,0.0192493281611923
"CT_STIL","2016",18.7344870334581,15.8572953574998,1.25698742972038,0.379431558002809,0.15481340725914,0.242261260007551,19.7076533606759,26.0522553975867,15.9987642618633,0.0235664903008773,0.027897153967329
"CT_Unio","2015",4.42681330869415,15.110760139401,9.70904653164301,0.780161381682069,0.361625624516183,0.400173472401292,4.81298938644132,5.62816117636349,33.5617870765093,0.225406039041922,0.21330597678078
"CT_Unio","2016",2.52213543030255,13.4904373008978,10.2203649704365,0.760324998433281,0.369607832797902,0.401441444398934,2.60377352552052,3.7570055678665,35.7246086347409,0.42585251271884,0.32055431152334
"FL_ICHE2700","2017",2.71918878275563,21.9184260509497,8.0482617229471,0.754297806584003,0.351775178008059,0.359309618686281,2.84660377455444,3.19375513887663,30.3551525796388,0.370731446173734,0.33751142751601
"FL_NR1000","2016",7.22281798337031,20.105650754794,0.797221262888996,0.311774625111759,0.145597015857095,0.187645088183227,7.30458683747821,9.29196770509878,14.0600349044652,0.0597968177105113,0.0605829983934169
"FL_NR1000","2017",8.99767895075412,17.7479721146398,0.42380350006608,0.288843260856443,0.134470681039985,0.172528531483626,8.66014752942099,10.5208479068301,9.65958962256076,0.0465825832353836,0.0491961863753266
"FL_SF2500","2017",1.6450559763164,22.9800864573737,47.3473969727777,1.20329776998876,0.507332886738662,0.598559717568227,1.66928165467984,2.07795551336674,67.5556808371581,0.911768637694576,0.864156687260013
"FL_SF2800","2017",0.583560399365227,22.7453605769231,42.1023037836857,1.2233024900081,0.554832450172477,0.583240336244338,0.482575659119495,0.805766486284782,61.1002659522175,3.44919458547591,2.17149886290333
"FL_SF700","2017",12.2684079603298,20.0944372452712,0.992284491112822,0.261270993652523,0.0907926959288922,0.231748402717237,13.4848450356669,17.6878483446311,19.6201335269549,0.0201988296540484,0.0393063754621541
"FL_WS1500","2017",34.4440443649399,21.1425136045608,6.19294834547521,0.505006117174039,0.206412880575422,0.347488759581458,2.6742434801513,3.23246028901198,37.5931150211892,0.231556567800338,0.322499330397964
"MD_BARN","2016",20.0082458892933,15.04764279706,46.5276890975909,1.21045610512967,0.553708332806012,0.660544263479602,20.4812508422573,25.9993788110274,66.322812558615,0.0811046654919519,0.0762184667888417
"MD_DRKR","2016",4.34490867107898,17.3534871900651,245.235557903351,1.59816092805332,0.612954286755717,0.809194475670912,4.54244758901617,5.29491248290064,164.865552184862,0.404817628433094,0.458474702811871
"MD_GFCP","2016",4.60184456774739,19.8794149147173,2076.56114692982,3.36203156226968,1.4078993930177,1.63104460495628,4.72207371824569,5.26593237161726,360.992319146194,0.894458331459988,0.929205593532162
"MD_GFGB","2016",6.29637810468086,16.7663408949695,121.128985502,1.54420451141661,0.681424932875213,0.762381914445481,6.63148090578628,7.65758713913696,103.042367922907,0.308268217562372,0.298677076966859
"MD_GFVN","2016",3.34744457382701,15.1660625231359,1114.0717590607,2.87628621272391,1.21401781987456,1.43953158528576,3.65870292685385,4.28935100712692,270.339237017999,0.995449352526556,1.00681775603856
"MD_POBR","2016",26.4930513046212,15.015000431226,4.80022229845626,0.626057413635859,0.292968292300217,0.34269038960752,24.3267091388017,37.4998644343507,25.2746978587899,0.0361292138565005,0.0274153302773229
"NC_Eno","2017",5.74274645789393,18.4912756426254,1.86317434411348,0.377411005169546,0.166143844933794,0.213966000616193,6.06104913062883,6.65806633056451,21.3115461737739,0.0822351913107938,0.0964090728417473
"NC_Mud","2017",85.4776889974257,14.9031531577865,0.0521605063428194,0.168941841971472,0.0857407492375083,0.0905768854355054,24.0840699284642,167.204497472757,3.69283948771872,0.0106801818993443,0.00162513963687364
"NC_NHC","2017",9.05253711550778,15.4786420307234,0.0887644739700485,0.131591868541833,0.0604991504077892,0.0918104305686166,7.37710134193588,10.9995829723353,6.93362313584163,0.0246028138710291,0.0250401576494835
"NC_Stony","2017",48.492929828208,16.8040295241198,0.00184313294510919,0.0251415075190577,0.00975490606864805,0.020877198493702,21.1795338927817,100.428166001058,2.27342152892708,0.00138174514859923,0.00062364571588857
"NC_UEno","2017",5.53691966624989,16.3779954127117,0.264423739240516,0.203875306163388,0.0842680815814082,0.125284234297822,5.91767786167395,7.43878507388789,9.76738845238395,0.0427201768419197,0.0505260871446345
"NC_UNHC","2017",4.56909254439218,15.4498949962093,0.663697360068961,0.357092823258865,0.171407372535097,0.184273038237175,4.27855215064429,5.80204421986926,10.7677698056202,0.120186011412262,0.0952800588486349
"PR_Icacos","2017",18.0751115940469,21.6934573101819,0.607614074192964,0.321996523184254,0.144295823177734,0.164031549234382,14.7381387730407,33.9013633398592,11.2109130049001,0.029371922479455,0.0145154825418059
"PR_QS","2017",27.9289379726692,22.1141571006116,0.402755806963593,0.2950603845255,0.134756109762961,0.153977461712304,30.9187347933264,40.5926162495278,9.11784616884562,0.0130751899128855,0.0113797145347163
"RI_CorkBrk","2014",8.89621658515403,12.1243523746264,0.0355918211888674,0.107687335058189,0.0416685673752486,0.0843488721048874,6.18317861286144,13.3626937806681,4.40807567150707,0.020217061474777,0.0189367967617986
"RI_CorkBrk","2015",6.23603222530742,12.5104855627578,0.0287163372926484,0.122925228045671,0.0610173995615827,0.0803172522357212,6.0306645615643,7.80506496992097,3.3122225925365,0.0303535699616604,0.0308712044852592
"RI_CorkBrk","2016",5.44465369309502,14.675858467633,0.0364421448608985,0.126029218833063,0.0563015090388128,0.0879478164888972,4.45979842870441,9.15146822315758,3.83066201961891,0.037872681874886,0.0288307234459976
"VT_MOOS","2015",8.0521999806354,11.8750276843467,4.31378671224511,0.566331995875389,0.250015039396916,0.316633748711436,8.63041124254317,11.2973250084355,25.8851758343425,0.0869072280696705,0.0840819614753966
"VT_MOOS","2016",8.70981454224365,13.0916795092771,2.97771580692944,0.511627896629551,0.228794977686112,0.299464988861453,8.0993055137238,11.4891954523159,21.9821706362683,0.084746146678292,0.0781947674502541
"VT_Pass","2015",9.95379890785707,12.8577541702179,17.7440178343794,0.902535049056983,0.394207382298657,0.477058176676601,10.1384666230097,11.0429437765873,44.648446123611,0.116647042483915,0.129600816501856
"VT_Pass","2016",11.3108607913526,13.8164925899788,17.7426094167464,0.889440522713421,0.396569199720662,0.487420407689427,10.3210880282199,14.077903489768,45.3031984842084,0.1152695913366,0.103869246165174
"VT_POPE","2015",221.066043293917,9.74640602623589,0.165339468653295,0.221458677460612,0.104284844604476,0.12521788879568,168.620764865788,250.329509316232,6.42754006551441,0.00185537370834749,0.0015006367703637
"VT_POPE","2016",65.5045363772759,9.16464004363108,0.166031275136513,0.220919844867496,0.100390753056029,0.128840930728312,56.8081133375073,94.6870750151088,6.46248162669659,0.00530157122766546,0.00408210721604042
"VT_SLPR","2015",13.5877568001158,11.6358588633002,1.92219199521059,0.455700470750238,0.205197745661445,0.241360600230846,13.9522029744613,16.3931780864814,18.0481827293582,0.0441215798043608,0.0441697025965728
"VT_SLPR","2016",15.0601600833432,10.5174556398848,2.12691875010473,0.465105044253746,0.215423011996097,0.267485856379515,16.4030502400911,18.8928600298184,19.01030627418,0.0393993206463959,0.0424741181521503
"WI_BEC","2010",13.0874430723959,10.5173112181393,0.459446867063606,0.322560532442986,0.151991859466927,0.160098361112246,13.7286080575553,16.2585379401207,9.16400417319591,0.0332135331192475,0.0295410992738485
"WI_BEC","2011",11.7950104753301,9.80004539501946,0.411570986142037,0.311734667215317,0.145917721743538,0.160098361112246,11.5788777668411,14.3385150170245,8.76478294673263,0.0378061824336919,0.0334968497620898
"WI_BEC","2012",6.38387406315055,10.4969067806251,0.263696184190598,0.273097599417566,0.131399386467189,0.14262679401362,6.14505343302477,7.4112779720484,7.27728924598647,0.0641488578900007,0.0577336842113612
"WI_BEC","2013",10.7159825959054,10.487311659508,0.341617308243935,0.292635344169554,0.135404880849664,0.151991859466927,10.6502198168665,13.5637907127412,8.17245421073091,0.0381414327153773,0.033617119878771
"WI_BEC","2014",10.4245256187135,10.4357627610581,0.324096594382523,0.290158379076099,0.135017545467664,0.145917721743538,10.8394518096364,12.8480756931139,7.93771310182302,0.0373683691312595,0.0340714964393644
"WI_BEC","2015",16.3575296518239,10.3778071169829,0.302256999885301,0.283461697752418,0.133838633338897,0.14262679401362,9.01709786029831,10.6198502924677,7.72988421616843,0.0445282846252051,0.0402906227731234
"WI_BEC","2016",9.41780687328104,10.9459130393782,0.433178970590755,0.315809846267185,0.149032417756782,0.157511535339042,9.57601033078327,11.0527117278035,8.97407654855388,0.0466893035644601,0.0427528209958148
"WI_BEC","2017",11.7871002148458,9.66410040752082,0.519170981880117,0.333917132898957,0.158037422105881,0.164978696578947,11.9615800909174,14.7231460007214,9.66065361623149,0.0396362573099889,0.0336161911124559
"WI_BRW","2015",9.92660150846632,9.83258678363105,0.0516889805106492,0.158527090984556,0.0739947862865791,0.0803172017127668,10.2971155871194,14.1456875464039,3.9099781080783,0.021557916581748,0.0170335732602517
"WI_BRW","2016",47.6691733354552,10.185605958858,0.0695333967678326,0.171597156074114,0.0867894347737448,0.093233729467134,13.3297821100751,18.3520075482846,4.46536020608879,0.019532825230837,0.0152409041716826
"WI_BRW","2017",16.5509189060516,9.0143176277738,0.139092136167959,0.217615431594404,0.106244518829751,0.111886127981201,9.31207511870649,14.0104850286248,5.78056013832165,0.0342279838195213,0.0239576562308742
